# Datos históricos de contaminantes atmosféricos - Junio 2025
# Estación: Centro de Monitoreo Ambiental
# Unidades: CO2(ppm), SO2(ppb), NO2(ppb), PM2.5(µg/m³)
# Formato: Fecha,Hora,CO,SO2,NO2,PM2.5

Norte
2025-06-04,00:09:15,530,1,9,11
2025-06-05,00:09:14,585,2,8,6
2025-06-06,00:09:15,522,1,9,9
2025-06-07,00:09:14,474,1,8,10
2025-06-08,00:09:15,446,1,9,8
2025-06-09,00:09:13,537,1,9,11
2025-06-10,00:09:13,452,1,9,7
2025-06-11,00:09:15,426,1,8,8
2025-06-12,00:09:14,470,1,8,7
2025-06-13,00:09:15,429,1,8,8
2025-06-14,00:09:14,429,1,8,6
2025-06-15,00:09:19,471,1,8,6
2025-06-16,00:09:13,481,1,8,6
2025-06-17,00:09:14,359,1,8,6
2025-06-18,00:09:14,384,2,8,6
2025-06-19,00:09:15,264,1,7,6
2025-06-20,00:09:13,272,1,7,5
2025-06-21,00:09:16,285,1,8,5
2025-06-22,00:09:14,276,2,8,4
2025-06-23,00:09:16,232,1,7,6
2025-06-24,00:09:13,261,1,7,5
2025-06-25,00:09:13,355,1,7,5
2025-06-26,00:09:13,432,1,6,5
2025-06-27,00:09:15,456,1,7,5
2025-06-28,00:09:15,413,1,11,4
2025-06-29,00:09:14,338,2,14,6
2025-06-30,00:09:15,252,2,13,5
2025-07-01,00:09:14,332,1,14,5
2025-07-02,00:09:14,286,1,13,5
2025-07-03,00:09:15,307,1,15,5

Centro Norte
2025-06-04,18:56:39,554,2,10,12
2025-06-05,00:11:12,481,2,10,10
2025-06-06,00:11:02,586,2,10,10
2025-06-07,00:11:24,500,2,10,6
2025-06-08,00:11:23,489,2,10,8
2025-06-09,00:11:10,491,2,9,9
2025-06-10,00:11:17,477,2,9,8
2025-06-11,00:11:01,516,2,9,10
2025-06-12,00:11:18,449,2,9,7
2025-06-13,00:11:48,440,2,9,
2025-06-14,00:11:24,453,2,9,8
2025-06-15,00:11:29,434,2,9,7
2025-06-16,00:11:29,448,2,8,7
2025-06-17,00:11:28,486,2,8,6
2025-06-18,00:11:27,446,2,8,5
2025-06-19,00:11:28,374,2,8,5
2025-06-20,00:11:20,408,2,8,4
2025-06-21,00:11:31,338,2,8,4
2025-06-22,00:11:33,346,2,8,5
2025-06-23,00:11:31,378,2,8,6
2025-06-24,00:11:55,347,2,8,5
2025-06-25,00:11:55,307,2,8,5
2025-06-26,00:11:56,323,2,7,5
2025-06-27,00:11:51,387,2,7,4
2025-06-28,00:11:46,435,2,7,6
2025-06-29,00:11:36,472,1,7,5
2025-06-30,00:11:26,478,2,11,5
2025-07-01,00:11:26,430,2,14,5
2025-07-02,00:11:48,344,2,13,6
2025-07-03,00:11:27,412,3,15,5

Centro Sur
2025-06-04,00:09:15,701,3,10,10
2025-06-05,00:09:14,587,3,10,5
2025-06-06,00:09:15,627,2,10,9
2025-06-07,00:09:15,608,2,10,10
2025-06-08,00:09:15,592,2,10,9
2025-06-09,00:09:14,570,2,9,11
2025-06-10,00:09:15,508,2,10,8
2025-06-11,00:09:13,516,2,9,9
2025-06-12,00:09:15,536,2,9,8
2025-06-13,00:09:12,470,3,9,8
2025-06-14,00:09:15,489,2,8,7
2025-06-15,00:09:11,491,3,8,7
2025-06-16,00:09:15,435,2,8,6
2025-06-17,00:09:15,376,3,8,5
2025-06-18,00:09:15,450,2,8,6
2025-06-19,00:09:12,387,2,7,3
2025-06-20,00:09:14,398,2,7,3
2025-06-21,00:09:14,379,2,8,4
2025-06-22,00:09:15,375,2,7,6
2025-06-23,00:09:16,300,2,7,5
2025-06-24,00:09:16,315,2,6,4
2025-06-25,00:09:17,368,2,6,5
2025-06-26,00:09:15,415,2,6,5
2025-06-27,00:09:18,469,1,7,4
2025-06-28,00:09:18,512,2,11,5
2025-06-29,00:09:19,531,2,15,5
2025-06-30,00:09:15,404,2,14,5
2025-07-01,00:09:15,501,3,16,6
2025-07-02,00:09:14,374,3,12,5
2025-07-03,00:09:15,440,2,13,5

Sur
